CNNIndonesia.csv,detikcom.csv,tvOneNews.csv,VIVAcoid.csv
1597024971573710848,1600779243406987265,1575822242998808576,1585885116811079682
1596811326189236224,1600773964074258433,1575692304652079107,1585829228872073217
1596790919122292740,1600709606023610369,1575562606274052096,1585623113517387778
1596786131751690242,1600706633230913536,1575457557766086656,1585514148691345408
1596749597044789250,1600702453405700096,1575275085619138560,1585402282170286082
1596699210740830209,1600646309823791105,1575199200417304576,1585321494498148352
1596696440088461312,1600593213244510215,1575140280827015168,1585268550775713794
1596635221385834496,1600468176671842304,1574974238297300992,1585248907747262467
1596505040297938945,1600454004386971648,1574776427891007489,1585238957235011586
1596486831226642432,1600428205655064577,1574701925303734272,1585182210092863488
1596380520534851585,1600423151741112320,1574566766558466048,1585149761484894211
1596356336769376256,1600419149557161985,1574558582817050625,1585127595225788416
1596096371370622980,1600417161180225538,1574549379473514496,1585110259148152834
1596077974851563521,1600412972597272576,1574311589683294213,1584922256161255424
1596065881515520001,1600408608985997314,1574046670739804161,1584908158207942658
1596032630855995392,1600391010613444609,1573993786371637248,1584786994517114880
1596011223148961792,1600384281813057536,1573976525070041088,1584779045677694976
1595989311018573824,1600371502200885248,1573961286865788929,1584750862471417857
1595926343585497088,1600316985048539136,1573895132184649728,1584521350181707777
1595796626789978113,1600295403013947392,1573680949346566151,1583848547082194945
1595563397554540545,1600272605935816704,1573534628647907328,1583594132269768705
1595433438252658688,1600216163115491328,1573226932397019136,1583404535548370944
1595394898488102912,1600170132638162944,1572995923135049729,1583384384891392000
1595368460825292800,1600110884323475457,1572919818650800130,1582597421108178944
1595289897060880384,1600108245498077184,1572474569776320512,1582514895962054656
1595284759264997377,1600104257830752256,1572182561060966400,1582405665280389121
1595148383232008193,1600090536370733057,1572153103872569344,1581975994046754817
1595051928698130433,1600067790488076289,1572104544565481473,1581965518839611395
1595024736244727809,1600062148587167746,1572014444552814592,1581948198540562433
1594998205552660484,1600049471450218497,1571776754225926146,1581902849910640640
1594959765880573952,1600032094687830016,1571754264867008516,1581826360917786624
1594897827477745664,1600029643133927425,1571672924792053761,1581743929053294592
1594895565086543872,1599988007507210240,1571274331686338560,1581631826715893762
1594688066643378177,1599978791908130819,1571024691682512898,1581521961645412352
1594646518526447616,1599971359299612674,1570850267557658625,1581489002796175361
1594640474152701952,1599966087310938113,1570747903181983744,1581124993643315200
1594623854130868227,1599964296934465539,1570674403331178497,1581123462307151872
1594475796390764544,1599963748197867520,1570674396662210563,1581063448624271361
1593861873824563200,1599932014769192960,1570654630706810881,1581050865242501120
1593506977988038656,1599856489853816836,1570459482253295619,1580958507490480128
1593399715474776064,1599752722135355392,1570267686269251584,1580898099798880257
1593395962440912896,1599742832058703873,1569974762537123841,1580858218540326914
1593392105480605696,1599732026810195968,1569945199752921088,1580822119310839808
1593176830420217857,1599727438770176000,1569853439269642240,1580818518119190528
1593157901123977217,1599718508702711809,1569656409247350784,1580799830955536384
1593146544542617601,1599699509126242307,1569654911683694592,1580793155460698113
1593119292979294211,1599695944416727040,1569342846578348035,1580341809913671680
1593073875008380928,1599688208769499136,1569321954208792583,1580059699025956865
1593013311909396480,1599635496560377857,1569188709186293760,1579999431369555970
1592995147088035842,1599633884404228097,1569113563620417538,1579797101332291584
1592987326891757568,1599612351908651008,1568970631265529857,1579795234166538240
1592861400350982147,1599570344351760389,1568915040937611266,1579733341271887872
1592690085996396544,1599564989471367170,1568163615357939714,1579624353486237697
1592661063920930817,1599409753809211395,1567861586181894154,1579443270299811841
1592476100684546050,1599407247553077248,1567667197136506880,1579440495566389249
1592421857747431424,1599382451951992834,1567516084600971266,1579418871001665536
1592392080612917249,1599372508607791104,1567425829008977921,1579415980379602946
1592313113390768128,1599366190396211201,1567407652006936578,1579369680292040704
1592132213855858688,1599352500687175680,1567106765640331265,1579366678139670528
1592116313555488768,1599346989644275715,1566730767715422213,1579305481537224706
1592104957544517632,1599330971748376577,1566631348793909248,1579066924629385216
1592021445487779840,1599314299582808064,1566584660507119621,1579058487354863617
1591956099938553856,1599306321249157123,1566447262846570496,1579047024041029632
1591952317573902337,1599298592811925510,1566374021876568064,1579026391664033792
1591876367557484544,1599290402749702144,1566285204767281152,1578703037308493825
1591391488067637249,1599289580049530885,1566273355267047424,1578623743521599488
1591298492705648640,1599277482347307011,1566066243400269824,1578540462256058369
1591210613069721600,1599272578622824449,1566040253311303681,1578515778013659136
1591027462057533441,1599254200231288842,1566018304174866432,1578494010104385536
1591022166023102464,1599222271306072064,1566004609705197568,1578434015472025601
1591013844553707520,1599053657454125058,1565991505197953024,1578385926559916038
1590957585146212352,1599050673638854656,1565982959106428928,1578312949198114816
1590876873831362562,1599044228671217664,1565959164048080897,1578223996503719936
1590870062491369474,1598982857887735808,1565159020377559041,1578218342376443905
1590849380550000641,1598940054830911491,1565133853823762432,1578218324479336448
1590545681353084929,1598884129411571713,1564992927814004736,1578197439982759936
1590540386178457603,1598841832242384898,1564962984027631617,1578036247268032513
1590353237533937665,1598832153109835776,1564893515595018240,1578015516173959170
1590262682728341506,1598800207902384133,1564796508335394816,1577985314580475904
1590254358871932929,1598681098074161153,1564751876083617792,1577873313690693633
1590189062073511936,1598633349425364992,1564555211230027777,1577834288565084161
1590139903135821824,1598625356453494786,1564539190007984128,1577806627293782017
1590026703853625344,1598602566010605568,1564533113547784194,1577802454837919744
1589912992048910336,1598587105940307969,1564180579415130113,1577606922681057280
1589912237551939584,1598585959561445377,1564111735317213185,1577569807461126144
1589865857949130757,1598569994530455555,1564041902693171201,1577511684960575488
1589818209254838272,1598553852227321857,1563439698554793984,1577501876505186304
1589814432699326464,1598529403012653058,1563346870302539776,1577492296312184839
1589805106698280962,1598507497240903680,1563332025901527041,1577317258632007684
1589777603334111232,1598496155226329090,1563140340802289666,1577237223904247813
1589764016217284609,1598473024071761920,1563026226125881345,1577225403789635584
1589615786359824385,1598451539294801957,1562939157185712128,1577217233524523008
1589604190225330176,1598446715480297482,1562245359438798848,1577145755416301568
1589602677624668160,1598359197929848834,1561980447248199680,1577140107483967489
1589522009083777026,1598306405466906625,1561935038102401024,1577000430512799749
1589477649646497792,1598252406596321281,1561645380759986177,1576988724256468992
1589474166834860034,1598234459018608641,1561635006606639105,1576950489044094977
1589450169388765185,1598227747087810560,1561336702676787200,1576822748835635200
1589179333192450049,1598224271087648768,1561290783780524032,1576746503229820928
1588819771994537984,1598223972956520449,1561173755996516352,1576713785041354754
1588685883758108672,1598183847677640706,1561164081687539718,1576618778225684480
1588624863102930944,1598179846206660608,1560912532138704897,1576506555050385408
1588505600010264576,1598174315043766274,1560795512609001472,1576486297132183552
1588487696800157696,1598161033213841408,1560780425298972674,1576465322139619330
